generation,fitness
1514,4572710.5
1515,4572710.5
1516,4571552
1517,4571552
1518,4571552
1519,4569944
1520,4569944
1521,4570344
1522,4569595
1523,4569366
1524,4567365
1525,4566841
1526,4565426
1527,4565426
1528,4565426
1529,4565581
1530,4565581
1531,4564933
1532,4564602
1533,4564602
1534,4563283
1535,4563017
1536,4562541
1537,4562541
1538,4562541
1539,4562117.5
1540,4560966
1541,4560966
1542,4560430
1543,4559191
1544,4559191
1545,4558067
1546,4558067
1547,4556389
1548,4556389
1549,4556389
1550,4555156.5
1551,4555156.5
1552,4555156.5
1553,4555156.5
1554,4553978.5
1555,4553725
1556,4553047
1557,4553047
1558,4551559
1559,4551559
1560,4551486.5
1561,4550262
1562,4550262
1563,4550262
1564,4549936.5
1565,4549307.5
1566,4548388
1567,4547101
1568,4547101
1569,4546461
1570,4546461
1571,4545711
1572,4545522
1573,4545268.5
1574,4544938
1575,4544648
1576,4543303
1577,4542979
1578,4542886
1579,4542647
1580,4542138
1581,4540879
1582,4540116.5
1583,4540116.5
1584,4540116.5
1585,4539599
1586,4539119.5
1587,4537894
1588,4537870
1589,4537456
1590,4536300
1591,4536112
1592,4536112
1593,4536112
1594,4534814
1595,4534517
1596,4532766
1597,4532766
1598,4532766
1599,4532766
1600,4532749
1601,4531406.5
1602,4530363
1603,4531406.5
1604,4522672.5
1605,4525636
1606,4523947
1607,4523947
1608,4521221.5
1609,4521221.5
1610,4521221.5
1611,4520434.5
1612,4519610
1613,4519547
1614,4516953
1615,4516953
1616,4514968
1617,4514968
1618,4514186.5
1619,4514186.5
1620,4514186.5
1621,4513835.5
1622,4513831
1623,4512135
1624,4512135
1625,4511602
1626,4510226
1627,4509807
1628,4509807
1629,4508510.5
1630,4508510.5
1631,4507103.5
1632,4507103.5
1633,4506585
1634,4506296.5
1635,4506266.5
1636,4505751
1637,4504328
1638,4504328
1639,4503530.5
1640,4503530.5
1641,4503528
1642,4503067
1643,4503067
1644,4503067
1645,4501705
1646,4501705
1647,4500578
1648,4499118.5
1649,4499118.5
1650,4499118.5
1651,4499118.5
1652,4499062
1653,4498874.5
1654,4497838
1655,4497838
1656,4497395
1657,4497395
1658,4497395
1659,4495962
1660,4495944
1661,4495944
1662,4495212
1663,4494410
1664,4494410
1665,4494410
1666,4492684
